,name,type,type_id,abv,rating,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty
0,Amber,Altbier,8,5.3,3.65,13,32,9,47,74,33,0,33,57,8,111
1,Double Bag,Altbier,8,7.2,3.9,12,57,18,33,55,16,0,24,35,12,84
2,Long Trail Ale,Altbier,8,5.0,3.58,14,37,6,42,43,11,0,10,54,4,62
3,Doppelsticke,Altbier,8,8.5,4.15,13,55,31,47,101,18,1,49,40,16,119
4,Scurry,Altbier,8,5.3,3.67,21,69,10,63,120,14,0,19,36,15,218
5,Sleigh'r Dark Doüble Alt Ale,Altbier,8,7.2,3.78,25,51,26,44,45,9,1,11,51,20,95
6,Sticke,Altbier,8,6.0,4.1,22,45,13,46,62,25,1,34,60,4,103
7,Okto Festival Ale,Altbier,8,5.3,3.46,28,40,3,40,58,29,0,36,54,8,97
8,Southampton Altbier,Altbier,8,5.0,3.6,18,49,5,37,73,22,0,21,37,4,98
9,Copper,Altbier,8,4.8,4.1,25,35,4,38,39,13,1,8,60,16,97
10,Organic Münster Alt,Altbier,8,5.1,3.7,35,31,5,35,50,55,5,52,66,8,77
11,Altbier,Altbier,8,4.7,4.0,34,48,9,55,59,25,1,32,68,12,121
12,Gerst Amber,Altbier,8,5.1,3.54,10,19,1,21,30,11,4,8,24,2,65
13,Ad Astra Ale,Altbier,8,5.6,3.69,7,30,5,43,43,13,1,13,50,6,93
14,Doppel Sticky,Altbier,8,7.7,4.07,24,44,27,79,73,88,2,114,92,9,51
15,Copperhead Ale,Altbier,8,5.2,3.37,9,32,9,29,54,13,1,11,32,2,112
16,Ten Years Alt,Altbier,8,8.5,3.96,14,55,31,48,105,31,0,37,59,19,115
17,Three Blind Mice,Altbier,8,5.5,3.57,11,58,6,47,49,5,1,3,50,5,110
18,Ishmael,Altbier,8,4.9,3.71,17,41,1,55,43,18,1,20,80,7,103
19,Headwall Alt,Altbier,8,4.5,3.69,19,42,13,54,62,19,0,25,64,10,135
20,Alt-eration Ale,Altbier,8,5.0,3.81,21,43,3,54,54,7,0,10,60,9,111
21,Schell's Schmaltz's Alt,Altbier,8,5.1,3.75,21,72,9,48,102,25,1,50,43,13,176
22,Balt Altbier,Altbier,8,5.5,3.8,27,65,10,45,75,22,1,29,68,12,132
23,Frankenheim Alt,Altbier,8,4.8,3.76,19,43,5,39,43,13,1,6,45,8,97
24,Iron Works Alt,Altbier,8,5.5,3.84,37,50,16,60,84,32,0,46,83,19,121
25,Diebels Premium Altbier,Altbier,8,4.9,3.72,21,27,5,37,33,13,0,13,45,10,70
26,Mission Amber,Altbier,8,5.0,3.47,24,36,9,59,55,20,2,18,80,7,132
27,Hövels Original,Altbier,8,5.5,3.71,22,38,10,47,54,10,1,14,68,2,117
28,Secret Spot Alt Ale,Altbier,8,6.3,3.58,14,53,16,69,67,29,0,23,87,18,103
29,Hoppeditz,Altbier,8,7.5,3.91,18,55,23,72,92,21,0,52,75,47,129
30,Lighthouse Amber,Altbier,8,5.25,3.64,11,67,5,35,86,21,0,28,54,4,138
31,Copper ALT.,Altbier,8,5.2,3.73,24,47,9,43,71,21,0,26,69,9,134
32,Série Signature Sticke Alt,Altbier,8,6.0,3.87,17,57,14,96,106,23,0,42,122,11,130
33,Simple Means,Altbier,8,5.6,3.82,36,55,14,34,88,75,4,43,45,97,97
34,Crooked Coast Altbier,Altbier,8,5.1,3.88,20,36,7,76,47,39,2,40,100,8,76
35,Gravel Road,Altbier,8,7.25,3.54,5,48,6,54,66,11,0,16,52,9,109
36,Little Red Cap,Altbier,8,5.2,3.63,27,39,18,47,52,28,4,24,59,6,100
37,Festivale,Altbier,8,4.7,3.69,29,30,9,72,77,20,0,20,104,10,141
38,Duckstein Rotblondes Original,Altbier,8,4.9,3.51,17,31,5,50,28,10,0,11,51,15,80
39,Moby D,Altbier,8,5.0,3.58,26,37,14,65,57,33,0,33,107,3,98
40,Scruffy's Smoked Alt,Altbier,8,5.1,3.68,18,45,11,29,39,28,3,21,31,130,91
41,Über Alt,Altbier,8,8.5,3.96,32,64,28,47,135,49,2,65,55,15,182
42,Füchschen Alt,Altbier,8,4.5,4.14,33,54,13,52,57,10,0,14,68,15,100
43,Sticke It To The Man,Altbier,8,7.5,3.41,18,55,50,51,87,22,0,39,47,6,96
44,Creemore Springs Collaboration Altbier,Altbier,8,5.0,3.64,26,61,6,50,69,27,0,22,73,8,144
45,Evan Altmighty,Altbier,8,6.6,3.66,21,39,7,40,62,34,0,47,65,5,80
46,ALTerior Motive,Altbier,8,6.3,4.05,27,61,11,56,61,46,0,40,77,14,110
47,GPA (German Pale Ale),Altbier,8,5.2,3.82,6,12,1,45,17,36,0,39,50,0,23
48,The Detroit Dwarf,Altbier,8,6.8,3.63,19,57,13,42,68,25,0,29,54,12,70
49,Alternate Dimension,Altbier,8,5.6,3.66,25,50,12,72,61,20,0,21,59,26,139
50,Bigfoot,Barleywine - American,97,9.6,4.17,11,47,37,88,73,31,0,46,90,0,77
