,style,name,review_overall
62,Lambic - Traditional,Lambik (2 Year Old Unblended),5.0
114,Wild Ale,Sang Noir,4.807692
61,Lambic - Gueuze,De Troch Oude Gueuze,4.75
30,Happoshu,Helios Goya Dry,4.75
60,Lambic - Fruit,Framboos,4.7
85,Rye Beer - Roggenbier,Roggenbier,4.666667
51,Lager - Kellerbier / Zwickelbier,Mönchsambacher Lager,4.634615
37,IPA - New England,Heady Topper,4.6258
80,Quadrupel (Quad),Trappist Westvleteren 12 (XII)Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),4.617925
36,IPA - Imperial,Pliny The Younger,4.6
94,Stout - American Imperial,CBS (Canadian Breakfast Stout),4.591052
109,Wheat Beer - Hefeweizen,HefeWeizen,4.562112
66,Old Ale,Adam From The Wood,4.55
2,Barleywine - English,Wooden Hell,4.546053
70,Pilsner - Bohemian / Czech,Reality Czeck,4.534351
45,Lager - European Dark,U Fleku Dark Lager,4.516667
39,Kölsch,32°/50° Kölsch,4.516484
23,Dubbel,Trappist Westvleteren 8 (VIII)Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),4.514144
67,Pale Ale - American,Zombie Dust,4.512723
38,Kvass,Drevlyansky Kvass,4.5
106,Wheat Beer - American Dark,Shredder's Wheat,4.5
0,Altbier,Alt-eration Ale,4.5
50,Lager - Japanese Rice,Hapa Beer,4.5
54,Lager - Munich Dunkel,Fearless Youth,4.5
1,Barleywine - American,Helldorado,4.5
97,Stout - Irish Dry,Ring Of Dingle,4.5
73,Porter - American,Edmund Fitzgerald,4.5
76,Porter - Imperial,Mogli,4.5
84,Rye Beer,Bridal Veil Rye Pale Ale,4.5
35,IPA - English,Naughty 90,4.5
91,Sour - Flanders Red Ale,Rodenbach Caractère Rouge,4.5
12,Bock - Weizenbock,Summer Haze Pale Weizenbock,4.5
110,Wheat Beer - Kristallweizen,Zitronenweizen,4.5
112,Wheat Beer - Wheatwine,Umami,4.5
111,Wheat Beer - Wheatwine,1100 Wheat Wine,4.5
99,Stout - Russian Imperial,Bourbon Barrel Aged Plead The 5th,4.482955
3,Bitter - English,Uncle Teddy's Bitter,4.469697
71,Pilsner - German,Rothaus Pils Tannen Zäpfle,4.458333
88,Smoked Beer,Bar Fly,4.444444
96,Stout - Foreign / Export,Bulls Bay Oyster Stout,4.444444
8,Bock - Doppelbock,Andechser Doppelbock Dunkel,4.432056
100,Stout - Sweet / Milk,Gingerbread Stout,4.428571
13,Braggot,Portsmouth Killer B,4.428571
89,Sour - Berliner Weisse,Tartare,4.409091
69,Pale Ale - English,Unfiltered Double Barrel Ale,4.40625
77,Porter - Robust,Gran Sport Porter,4.4
107,Wheat Beer - American Pale,Gumballhead,4.396272
82,Red Ale - Imperial,Nugget Nectar,4.395652
93,Stout - American,Rise Up Coffee Stout,4.394737
78,Porter - Smoked,Smoke Signal,4.375
34,IPA - Black / Cascadian Dark Ale,Anger,4.375
7,Blonde Ale - Belgian,Trappist Westvleteren BlondBrouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),4.372222
32,IPA - American,Nelson,4.37201
27,Farmhouse Ale - Saison,Fantôme Saison,4.362645
49,Lager - India Pale Lager (IPL),Kiwi Rising - Double IPL,4.357143
98,Stout - Oatmeal,Breakfast Stout,4.354516
64,Mild Ale - English Dark,Community Dark Mild Ale,4.35
6,Blonde Ale - American,Knockout Blonde,4.347826
103,Strong Ale - Belgian Pale,Duvel,4.342245
105,Tripel,Tripel Van De Garre,4.339286
19,California Common / Steam Beer,Steamy Windows,4.333333
56,Lager - Rauchbier,Smokey The Beer,4.333333
18,California Common / Steam Beer,Dorothy's New World Lager,4.333333
101,Strong Ale - American,B-Bomb (Bourbon Abominable Winter Ale),4.333333
20,California Common / Steam Beer,Urban People's Common Lager,4.333333
5,Bière de Champagne / Bière Brut,Eisenbahn Lust Prestige,4.333333
21,Chile Beer,Fire Escape,4.333333
44,Lager - European / Dortmunder Export,Lunatic Lager,4.333333
43,Lager - European / Dortmunder Export,Jägerbier Export Hell,4.333333
9,Bock - Eisbock,Ramstein Winter Wheat Eisbock,4.333333
14,Brett Beer,Sanctification,4.332962
108,Wheat Beer - Dunkelweizen,Hefeweissbier Dunkel,4.319284
33,IPA - Belgian,Citra Bitter Monk,4.314159
10,Bock - Maibock,Früh Bock,4.3
57,Lager - Schwarzbier,Dark Helmet,4.3
48,Lager - Helles,Gold Leaf Lager,4.3
15,Brown Ale - American,Bender,4.285505
75,Porter - English,Fuller's London Porter,4.27362
102,Strong Ale - Belgian Dark,17 Grande Réserve,4.272727
79,Pumpkin Beer,Pumpkinator,4.27027
17,Brown Ale - English,Bone Shaker Brown,4.269231
55,Lager - Märzen / Oktoberfest,Octoberfest Beer,4.25
87,Scottish Ale,90 Shilling,4.25
29,Gruit / Ancient Herbed Ale,Weekapaug Gruit,4.25
63,Low Alcohol Beer,Krombacher Alkoholfrie,4.25
90,Sour - Flanders Oud Bruin,SoBro,4.25
4,Bitter - English Extra Special / Strong Bitter (ESB),Lord Rear Admiral,4.24569
81,Red Ale - American Amber / Red,Zoe,4.243396
28,Fruit and Field Beer,Wisconsin Belgian Red,4.236683
113,Wheat Beer - Witbier,White,4.231954
68,Pale Ale - Belgian,Redemption,4.223278
92,Sour - Gose,Gose,4.210526
58,Lager - Vienna,Eliot Ness,4.20919
74,Porter - Baltic,Smoke,4.202381
11,Bock - Traditional,The Vixen Chocolate Chili BockBoston Beer Company (Samuel Adams),4.2
24,Farmhouse Ale - Bière de Garde,Abbaye De Saint Bon-ChienBFM (Brasserie des Franches-Montagnes),4.183908
86,Scotch Ale / Wee Heavy,Wee Heavy - Barrel-Aged,4.168675
95,Stout - English,Rosie Parks Oyster Stout,4.15625
115,Winter Warmer,Christmas Ale,4.142857
31,Herb and Spice Beer,Mexican Chocolate Stout,4.125
72,Pilsner - Imperial,My Antonia,4.103286
16,Brown Ale - Belgian Dark,La Petite Mort,4.1
104,Strong Ale - English,Fuller's 1845,4.089783
83,Red Ale - Irish,Celtic Ale,4.083333
59,Lambic - Faro,Mort Subite Faro,4.071429
22,Cream Ale,Kiwanda Cream Ale,4.064103
42,Lager - American Amber / Red,Hudepohl Amber Lager,4.033333
26,Farmhouse Ale - Sahti,Puhti IV B,4.0
25,Farmhouse Ale - Sahti,Finlandia Strong Sahti,4.0
46,Lager - European Pale,Pure Brewed Organic Lager BeerSamuel Smith Old Brewery (Tadcaster),3.969595
40,Lager - Adjunct,Schlitz (Classic 1960's Formula)JOS. Schlitz Brewing Co. (Pabst),3.960938
65,Mild Ale - English Pale,Ossian,3.94697
41,Lager - American,Joe's Premium American Pilsner,3.86478
52,Lager - Light,Sankaty Light,3.777778
47,Lager - European Strong,Christoffel Nobel,3.683544
53,Lager - Malt Liquor,Region Riot,3.625
