state,barrels
total,2118322151.19
CO,252300383.75
CA,243098569.82
TX,233327932.31
OH,230175338.75
GA,174705085.28
VA,166766980.47
MO,162984930.09
FL,128652187.5
WI,120401904.17
NY,91338476.91
NC,69268136.17
NJ,58328584.38
PA,55708295.14
NH,37240588.2
OR,16298566.34
IL,14491103.64
TN,10301640.19
MI,8868921.41
MN,6362721.09
WA,5056712.38
VT,3950266.06
MA,3568254.54
ME,2615528.02
DE,2607972.41
MD,2162224.63
AK,2102840.3
LA,1812902.02
AZ,1541402.3
UT,1527059.57
KY,1474528.33
MT,1432456.68
IN,1359811.67
CT,1096086.5
NM,721807.14
HI,541034.47
SC,532815.94
IA,486338.76
NV,389324.84
ID,374695.04
NE,325307.67
AL,316581.96
KS,298268.62
RI,253436.91
WY,251332.15
DC,196038.12
MS,194759.02
OK,177386.5
AR,134412.58
WV,82703.58
SD,65737.2
ND,51779.67
